"Card No","Date","Order No.","ATS client","Request No.","Description","Actual Completion","Estim Completion","Pending days","Status"
"8577","25.07.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","12.07.2017","17506","Unauthorize"
"8576","25.07.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","12.07.2017","17506","Unauthorize"
"8558","15.07.2017","HAH-01","HAMAD AL HAMAD","898","abc","15.07.2017","16.07.2017","0","Unauthorize"
"8549","25.07.2017","GREEN SPRING KCC","GREEN SPRING","ty5yt","","26.07.2017","27.07.2017","0",""
"8545","2017-05-28","AGI-ZOR/ALG/ATS/SA-006/2016","Alghanim International General Trading and Co","EMAIL DATED 07-05-2017","load test","2017-05-22","","0","Job_Completed"
"8544","2017-05-29","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 29-05-17","COMPRESSIVE STRENGTH OF CUBE CONCRETE","2017-05-29","","0","Job_Completed"
"8543","2017-05-28","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 28-05-2017","compressive strength of concrete cube","2017-05-28","","0","Job_Completed"
"8542","2017-05-28","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 28-05-2017","compressive strength of concrete cube","2017-05-28","","0","Job_Completed"
"8541","2017-05-28","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 28-05-17","compressive strength of concrete cube","2017-05-28","","0","Job_Completed"
"8540","2017-05-28","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 28-05-17","compressive strength of concrete cube","2017-05-28","","0","Job_Completed"
"8539","2017-05-28","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 28-05-17","compressive strength of concrete cube","2017-05-28","","0","Job_Completed"
"8538","2017-05-28","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 28-05-17","compressive strength of concrete cube","2017-05-28","","0","Job_Completed"
"8537","2017-05-27","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 27-05-17","COMPRESSIVE STRENGTH OF CONCRETE GROUT","2017-05-27","","0","Job_Completed"
"8536","2017-05-27","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 27-05-17","compressive strength of concrete cube","2017-05-27","","0","Job_Completed"
"8535","2017-05-27","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 27-05-17","compressive strength of concrete cube","2017-05-27","","0","Job_Completed"
"8531","2017-05-25","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 25-05-17","compressive strength of concrete cube","2017-05-25","","0","Job_Completed"
"8530","2017-05-25","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 25-05-17","compressive strength of concrete cube","2017-05-25","","0","Job_Completed"
"8529","2017-05-25","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 25-05-17","compressive strength of concrete cube","2017-05-25","","0","Job_Completed"
"8528","2017-05-25","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 25-05-17","compressive strength of concrete cube","2017-05-25","","0","Job_Completed"
"8527","2017-05-24","HAH-01","HAMAD AL HAMAD","ndt-26265-01","UTG","2017-05-24","","0","Job_Completed"
"8526","2017-05-24","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 24-05-17","compressive strength of concrete cube","2017-05-24","","0","Job_Completed"
"8525","2017-05-24","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 24-05-17","compressive strength of concrete cube","2017-05-24","","0","Job_Completed"
"8524","2017-05-24","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 24-05-17","compressive strength of concrete cube","2017-05-24","","0","Job_Completed"
"8523","2017-05-24","Inco Lab -01","INCO LAB","Incolab Request 17/0746","Tensile & Bend test","","","0","Pending"
"8522","2017-05-24","Inco Lab -01","INCO LAB","Incolab Request 17/0744","Tensile & Bend Test of Rebars","2017-05-24","","0","Pending"
"8521","2017-05-24","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 24-05-17","compressive strength of concrete cube","2017-05-24","","0","Job_Completed"
"8520","2017-05-24","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 24-05-17","compressive strength of concrete cube","2017-05-24","","0","Job_Completed"
"8519","2017-05-23","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 23-05-17","COMPRESSIVE STRENGTH OF CONCRETE CUBE","2017-05-23","","0","Job_Completed"
"8518","2017-05-23","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 23-05-2017","COMPRESSIVE STRENGTH OF CUBE CONCRETE","2017-05-23","","0","Job_Completed"
"8517","2017-05-23","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","p-247 23-05-17","COMPRESSIVE STRENGTH OF CUBE CONCRETE","2017-05-23","","0","Job_Completed"
"8516","2017-05-23","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 23-05-17","COMPRESSIVE STRENGTH OF CUBE CONCRETE","2017-05-23","","0","Job_Completed"
"8515","2017-05-23","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","email dated 23-05-2017","compressive strength of cubes","2017-05-23","","0","Job_Completed"
"8514","2017-05-22","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 22-05-2017","compressive strength of concrete cube","2017-05-22","","0","Job_Completed"
"8513","2017-05-22","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 22-05-17","compressive strength of concrete cube","2017-05-22","","0","Job_Completed"
"8512","2017-05-22","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 22-05-2017","compressive strength of concrete cube","2017-05-22","","0","Job_Completed"
"8511","2017-05-22","Golden Ewan-01","Golden Eiwan General Trading & Contracting","e-mail dt. 18-05-17","Dimensional check","","","0","partially completed"
"8510","2017-05-22","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALD/DD 21-05-17","DRY DENSITY OF LIGHT WEIGHT CONCRETE CUBES","2017-05-21","","0","Pending"
"8509","2017-05-22","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 22-05-17","compressive strength of concrete cube","2017-05-22","","0","Job_Completed"
"8508","2017-05-21","GS Engineering","GS Engineering and Construction","e-mail","Chainblock inspection","2017-05-21","","0","Job_Completed"
"8507","2017-05-21","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 21-05-17","compressive strength of concrete cube","2017-05-21","","0","Job_Completed"
"8506","2017-05-21","NCC-01","NATIONAL CONTRACTING COMPANY","Verbal","Flexibility test","2017-05-21","","0","Job_Completed"
"8505","2017-05-21","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 21-05-17","compressive strength of concrete cube","2017-05-21","","0","Job_Completed"
"8504","2017-05-21","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 21-05-17","compressive strength of concrete cube","2017-05-21","","0","Job_Completed"
"8503","2017-05-21","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 21-05-17","compressive strength of concrete cube","2017-05-21","","0","Job_Completed"
"8502","2017-05-21","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","CGC SOIL 21-05-17","SOIL CLASSIFICATION, PROCTOR, ATTERBERG LIMIT","2017-05-25","","0","Job_Completed"
"8501","2017-05-21","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 21-05-2017","COMPRESSIVE STRENGTH OF SOLID BLOCKS","2017-05-21","","0","Job_Completed"
"8500","2017-05-21","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 21-05-17","compressive strength of concrete cube","2017-05-21","","0","Job_Completed"
"8499","2017-05-20","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 20-05-17","COMPRESSIVE STRENGTH OF CONCRETE CUBE","2017-05-20","","0","Job_Completed"
"8498","2017-05-20","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 20-05-17","COMPRESSIVE STRENGTH OF CUBE","2017-05-20","","0","Job_Completed"
"8497","2017-05-20","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 20-05-17","COMPRESSIVE STRENGTH OF CUBE CONCRETE","2017-05-20","","0","Job_Completed"
"8496","2017-05-20","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 20-05-17","compressive strength of concrete cube","2017-05-20","","0","Job_Completed"
"8495","2017-05-20","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 20-05-2017","compressive strength of concrete cube","2017-05-20","","0","Job_Completed"
"8494","2017-05-18","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 18-05-2017","DRY DENSITY TEST FOR LIGHT WEIGHT CUBE","2017-05-18","","0","Job_Completed"
"8493","2017-05-18","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","DATED 10-5-2017","","","","0","Unauthorised"
"8492","2017-05-18","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","DATED 10-05-2017","rebound hammer","2017-05-11","","0","Job_Completed"
"8491","2017-05-18","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 18-05-17","compressive strength of concrete cube","2017-05-18","","0","Job_Completed"
"8490","2017-05-18","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 18-05-2017","compressive strength of concrete cube","2017-05-18","","0","Job_Completed"
"8489","2017-05-18","NBTC","NBTC (Naser M. Al Baddah  Partner Gen. Trad.","e-mail","Tensile & Bend test of Rebars","2017-05-20","","0","Job_Completed"
"8488","2017-05-18","NBTC","NBTC (Naser M. Al Baddah  Partner Gen. Trad.","E-MAIL DT 18-5-17","Tensile & Bend test of Re-bars","2017-05-20","","0","Job_Completed"
"8487","2017-05-18","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 18-05-17","compressive strength of concrete cube","2017-05-18","","0","Job_Completed"
"8486","2017-05-18","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 18-05-17","compressive strength of concrete cube","2017-05-18","","0","Job_Completed"
"8485","2017-05-18","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","DATED 10-05-2017","rebound hammer test","2017-05-11","","0","Pending"
"8484","2017-05-18","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 18-05-2017","compressive strength of concrete cube","2017-05-18","","0","Job_Completed"
"8483","2017-05-17","Burgan Drilling","Burgan Co. for Well Drilling, Trading  and Ma","e-mail","RT(BSR & PWHT","2017-05-17","","0","Job_Completed"
"8482","2017-05-17","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 17-05-17","compressive strength of concrete cube","2017-05-17","","0","Job_Completed"
"8481","2017-05-17","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 17-05-17","compressive strength of concrete cube","2017-05-17","","0","Job_Completed"
"8480","2017-05-17","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P250-17-05-17","compressive strength of concrete cube","2017-05-17","","0","Job_Completed"
"8479","2017-05-17","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 17-05-17","compressive strength of concrete cube","2017-05-17","","0","Job_Completed"
"8478","2017-05-17","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 17-05-2017","compressive strength of concrete cube","2017-05-17","","0","Job_Completed"
"8477","2017-05-16","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","KCCEC-GC-29 16-05-17","compressive strength of concrete cube","2017-05-16","","0","Job_Completed"
"8476","2017-05-16","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 16-05-17","compressive strength of concrete cube","2017-05-16","","0","Job_Completed"
"8475","2017-05-16","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 16-05-2017","compressive strength of concrete cube","2017-05-16","","0","Job_Completed"
"8474","2017-05-16","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 16-05-2017","compressive strength of concrete cube","2017-05-16","","0","Job_Completed"
"8473","2017-05-16","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 16-05-2017","compressive strength of concrete cube","2017-05-16","","0","Job_Completed"
"8472","2017-05-16","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 16-05-2017","compressive strength of concrete cube","2017-05-16","","0","Job_Completed"
"8471","2017-05-15","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 15-05-2017","compressive strength of concrete cube","2017-05-15","","0","Job_Completed"
"8470","2017-05-15","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 15-05-2017","compressive strength of concrete cube","2017-05-15","","0","Job_Completed"
"8469","2017-05-15","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 15-05-17","COMPRESSIVE STRENGTH OF SOLID BLOCKS","2017-05-15","","0","Job_Completed"
"8468","2017-05-15","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 15-05-17","compressive strength of concrete cube","2017-05-15","","0","Job_Completed"
"8467","2017-05-15","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 1505-2017","COMPRESSIVE STRENGTH OF CUBE CONCRETE","2017-05-15","","0","Job_Completed"
"8466","2017-05-15","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 15-05-17","compressive strength of concrete cube","2017-05-15","","0","Job_Completed"
"8465","2017-05-14","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 14-05-2017","SOIL CLASSIFICATION  SIEVE ANALYSIS, PROCTOR,","2017-05-14","","0","Pending"
"8464","2017-05-14","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA  14-05-2017","compressive strength of concrete cube","2017-05-14","","0","Job_Completed"
"8463","2017-05-14","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 14-05-2017","SOIL CLASSIFICATION  SIEVE ANALYSIS, PROCTOR,","","","0","Pending"
"8462","2017-05-14","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 14-05-2017","SOIL CLASSIFICATION  SIEVE ANALYSIS, PROCTOR,","","","0","Job_Completed"
"8461","2017-05-14","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 14-05-17","compressive strength of concrete cube","2017-05-14","","0","Job_Completed"
"8460","2017-05-14","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","CGC SOIL 01-05-17","PROCTOR TEST FOR SOIL","2017-05-26","","0","Job_Completed"
"8459","2017-05-14","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 14-05-2017","compressive strength of concrete cube","2017-05-14","","0","Job_Completed"
"8458","2017-05-14","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 14-05-2017","compressive strength of concrete cube","2017-05-14","","0","Job_Completed"
"8457","2017-05-14","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 14-05-2017","compressive strength of concrete cube","2017-05-14","","0","Job_Completed"
"8456","2017-05-14","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 14-05-2017","compressive strength of concrete cube","2017-05-14","","0","Job_Completed"
"8455","2017-05-13","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 13-05-2017","HYDRO STATIC TEST FOR WATER","2017-05-21","","0","Job_Completed"
"8454","2017-05-13","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 13-05-17","PHYSICAL CHEMICAL & BIOLOGICAL TEST FOR DRINK","2017-05-21","","0","Job_Completed"
"8453","2017-05-13","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GULF DREDGING 13-05-17","SOIL CLASSIFICATION  SIEVE ANALYSIS, PROCTOR,","2017-05-25","","0","Job_Completed"
"8452","2017-05-13","MBTC-MGT GC-30","MOHAMMED N AL-BADDAH & PARTEN GEN.TRD & CONTR","Delivery note no. 30394","PWHT","2017-05-11","","0","Job_Completed"
"8451","2017-05-13","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 13-05-17","compressive strength of concrete cube","2017-05-13","","0","Job_Completed"
"8450","2017-05-13","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 13-05-2017","compressive strength of concrete cube","2017-05-13","","0","Job_Completed"
"8449","2017-05-13","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 13-05-2017","compressive strength of concrete cube","2017-05-13","","0","Job_Completed"
"8448","2017-05-13","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 13-05-17","compressive strength of concrete cube","2017-05-13","","0","Job_Completed"
"8447","2017-05-13","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","alg 13-05-17","compressive strength of concrete cube","2017-05-13","","0","Job_Completed"
"8446","2017-05-11","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 11-05-17","COMPRESSIVE STRENGTH OF CONCRETE GROUT","2017-05-11","","0","Job_Completed"
"8445","2017-05-11","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 11-05-17","compressive strength of concrete cube","2017-05-11","","0","Job_Completed"
"8444","2017-05-11","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 11-05-2017","COMPRESSIVE  STRENGTH OF CUBE","2017-05-11","","0","Job_Completed"
